4392	-828	320	128
4407	-848	260	-464
4422	-776	120	136
4438	-780	180	-656
4454	-780	180	-656
4469	-836	92	124
4485	-1000	128	-100
4501	-1084	80	-16
4517	-1084	80	-16
4532	-1308	36	-112
4547	-1336	-24	32
4563	-1408	-12	-164
4579	-1408	-12	-164
4594	-1640	-48	4
4609	-1632	-144	144
4626	-1996	-172	268
4641	-1996	-172	268
4655	-1808	-176	112
4670	-1616	-188	88
4686	-1456	-112	-40
4705	-1456	-112	56
4721	-1376	-176	56
4735	-1204	-164	92
4751	-944	60	-148
4767	-880	8	-160
4782	-880	8	-160
4797	-976	-216	-100
4813	-612	-60	-96
4829	-608	-80	-184
4845	-608	-80	-184
4859	-500	-72	-372
4875	-564	-112	-148
4891	-584	-100	-184
4907	-584	-100	-184
4922	-820	-116	-72
4938	-956	-124	-68
4953	-1104	-152	-216
4969	-1104	-152	-216
4983	-1436	-120	-208
4999	-1632	-160	-16
5015	-1580	-60	200
5031	-1580	-60	200
5049	-1748	-172	-40
5065	-1624	144	28
5081	-1948	-196	516
5096	-1948	-196	-212
5112	-1744	-20	-212
5127	-1480	128	248
5143	-1568	-44	216
5158	-1360	220	-60
5174	-1360	220	-60
5189	-1084	132	-228
5204	-1248	-280	168
5221	-680	328	164
5236	-680	328	164
5251	-800	56	-64
5267	-508	284	-568
5283	-816	132	248
5299	-816	132	248
5314	-676	228	-668
5330	-900	104	200
5346	-952	164	-412
5361	-952	164	-412
5379	-1148	152	44
5395	-1280	160	108
5410	-1448	52	-152
5426	-1448	52	-152
5441	-1640	4	60
5457	-1664	72	28
5472	-1928	-100	-168
5488	-1928	-100	-168
5503	-1764	-84	84
5519	-1912	-384	244
5534	-1876	-268	-168
5550	-1772	-200	424
5566	-1772	-200	424
5581	-1452	-132	80
5597	-1420	32	-272
5613	-1416	-144	-32
5629	-1416	-144	-32
5644	-1108	64	92
5659	-1148	-88	-148
5675	-880	36	-120
5690	-880	36	-120
5708	-684	-64	-316
5723	-800	-172	-60
5739	-604	-120	-32
5755	-604	-120	-32
5770	-548	-80	-308
5786	-612	-120	-164
5802	-772	-144	-108
5818	-944	-136	-128
5834	-944	-136	-128
5849	-1132	-124	-80
5865	-1284	-108	-164
5881	-1500	-36	-40
5896	-1500	-36	-40
5911	-1680	-64	-68
5927	-1844	-172	192
5943	-1884	-216	-56
5959	-1884	-216	-56
5974	-1932	-52	-248
5990	-1612	-172	532
6006	-1488	-8	108
6022	-1488	-8	108
6037	-1344	84	-56
6056	-1324	32	216
6072	-1268	92	88
6088	-1188	392	-216
6103	-1188	392	-216
6118	-1064	256	-96
6134	-1024	72	60
6150	-992	132	-40
6166	-992	132	-40
6181	-684	256	24
6196	-876	144	-508
6212	-832	84	48
6227	-832	84	48
6241	-912	132	-352
6256	-992	52	92
6272	-1196	60	-280
6288	-1196	60	-280
6302	-1460	-168	32
6318	-1480	-80	-4
6334	-1620	-64	-68
6350	-1620	-64	-68
6364	-1680	4	-16
6384	-1764	-40	-36
6399	-1720	-132	-112
6415	-1720	-132	-112
6430	-1672	-244	164
6446	-1544	-140	268
6462	-1396	-100	104
